table_name,table_zh_name,column_name,column_zh_name,description,data_type_in_csv,nullable_rate,key_role,example_values
routing_recommendations,推薦醫院排序紀錄,travel_min_3,第 3 名預估車程,現場到第三名醫院預估分鐘數。,float64,0,,14.5、18.0、20.7、11.7、19.0
routing_recommendations,推薦醫院排序紀錄,reason_3,第 3 名推薦原因,第三名推薦理由。,object,0,,ICU可用2床、距離與壅塞度評分、一級外傷能力、初級中風中心; CT可用、可後續評估PCI
routing_recommendations,推薦醫院排序紀錄,selected_reason,最後選擇原因,說明是否選擇最高分醫院，或因家屬意願、壅塞變化、醫療指揮調度而改選。,object,0,,最高分醫院、非最高分：模擬家屬意願、壅塞變化或醫療指揮調度
treatment_events,到院後處置事件,event_id,處置事件代碼,到院後處置事件唯一識別碼。,object,0,PK,EV00000001、EV00000002、EV00000003、EV00000004、EV00000005
treatment_events,到院後處置事件,case_id,案件代碼,對應 ems_cases.case_id。,object,0,FK -> ems_cases.case_id,E0000001、E0000002、E0000003、E0000004、E0000005
treatment_events,到院後處置事件,event_type,事件類型,例如 CT_START、BALLOON_OR_FIRST_DEVICE、BROAD_SPECTRUM_ANTIBIOTICS、TRAUMA_TEAM_READY。,object,0,,PREHOSPITAL_ALERT_SENT、HOSPITAL_ACK、PATIENT_ARRIVED_ED、LACTATE_DRAWN、BLOOD_CULTURE_DRAWN
treatment_events,到院後處置事件,event_time,事件時間,處置或狀態發生時間。,object,0,,2025-11-01 00:56:20、2025-11-01 01:01:20、2025-11-01 01:19:20、2025-11-01 01:28:20、2025-11-01 01:50:20
treatment_events,到院後處置事件,minutes_from_arrival,距到院分鐘數,事件時間減去到院時間；負值表示到院前已完成。,float64,0,,-23.0、-18.0、0.0、8.9、31.4
treatment_events,到院後處置事件,actor_role,執行角色,例如 EMT、charge_nurse、cardiologist、neurologist、trauma_team。,object,0,,EMT、charge_nurse、nurse、physician、intensivist
treatment_events,到院後處置事件,outcome,事件結果,例如 done、rosc、no_rosc。,object,0,,done、no_rosc、rosc
